species,size,fragrance,height_cm,species type
rose,medium,mild,90.6,1
rose,medium,mild,66.29,1
rose,medium,strong,54.38,1
shoeblack plant,medium,mild,72.52,1
shoeblack plant,large,none,81.89,3
hibiscus,large,none,183.54,1
rose,medium,mild,74.52,3
shoeblack plant,medium,none,148.39,1
shoeblack plant,large,none,136.77,2
hibiscus,large,none,111.91,1
hibiscus,large,none,193.1,2
hibiscus,large,none,126.09,2
hibiscus,large,none,141.55,2
hibiscus,large,none,122.54,1
hibiscus,large,none,107.58,1
hibiscus,large,none,158.12,3
rose,small,mild,44.72,2
hibiscus,large,none,151.03,1
hibiscus,large,none,171.78,1
rose,small,mild,53.07,1
shoeblack plant,large,none,63.03,2
hibiscus,large,none,156.11,1
shoeblack plant,medium,none,59.05,1
rose,medium,strong,57.19,2
hibiscus,large,none,150.17,1
shoeblack plant,large,none,93.83,3
shoeblack plant,medium,mild,60.77,1
shoeblack plant,large,none,145.18,3
shoeblack plant,large,none,88.34,2
shoeblack plant,medium,mild,68.22,3
rose,small,mild,78.83,1
rose,medium,mild,51.67,3
rose,medium,strong,33.04,1
hibiscus,large,none,175.94,2
hibiscus,large,none,192.54,3
rose,small,mild,51.13,1
shoeblack plant,medium,mild,125.25,3
shoeblack plant,medium,none,80.76,3
shoeblack plant,large,none,50.84,2
rose,small,strong,82.77,3
rose,small,mild,59.82,2
hibiscus,large,none,199.37,2
hibiscus,large,none,155.56,1
shoeblack plant,medium,none,51.91,2
rose,medium,mild,91,2
hibiscus,large,none,182.07,1
hibiscus,large,none,137.61,1
hibiscus,large,none,121.71,1
shoeblack plant,medium,none,136.85,2
hibiscus,large,none,165.17,2
rose,small,strong,75.4,2
hibiscus,large,none,160.3,2
hibiscus,large,none,113.35,3
rose,medium,strong,67.89,3
shoeblack plant,medium,none,62.83,3
hibiscus,large,none,196.42,3
hibiscus,large,none,129.49,1
shoeblack plant,large,mild,132.95,1
rose,small,strong,74.14,3
rose,medium,strong,68.34,2
shoeblack plant,medium,none,128,1
shoeblack plant,large,mild,87.24,1
hibiscus,large,none,194.54,2
rose,medium,strong,30.58,1
shoeblack plant,large,mild,123.95,1
shoeblack plant,large,none,62.26,1
shoeblack plant,large,none,110.11,1
hibiscus,large,none,119.14,2
rose,small,strong,69.17,2
shoeblack plant,large,mild,59.6,1
shoeblack plant,large,mild,70.9,2
rose,small,strong,91.15,1
rose,small,mild,82.61,1
hibiscus,large,none,168.66,3
hibiscus,large,none,103.25,2
hibiscus,large,none,118.78,1
shoeblack plant,medium,none,148.67,2
rose,small,mild,84.07,3
hibiscus,large,none,198.52,2
shoeblack plant,medium,mild,140.87,3
hibiscus,large,none,156.25,2
shoeblack plant,medium,none,82.4,1
hibiscus,large,none,147.55,2
rose,medium,strong,49.65,2
shoeblack plant,large,none,143.81,3
hibiscus,large,none,145.65,2
shoeblack plant,medium,none,98.66,2
hibiscus,large,none,188.03,3
rose,small,strong,78.5,1
rose,medium,mild,90.27,3
hibiscus,large,none,136.02,3
rose,medium,mild,58.73,1
hibiscus,large,none,156.53,3
rose,medium,mild,80.66,3
shoeblack plant,medium,none,99.73,3
hibiscus,large,none,137.92,3
rose,medium,mild,63.8,1
hibiscus,large,none,177.11,1
hibiscus,large,none,188.99,3
hibiscus,large,none,123.87,3
hibiscus,large,none,134.27,1
rose,small,mild,32.05,2
shoeblack plant,medium,none,106.28,1
shoeblack plant,medium,mild,54.12,1
rose,small,mild,98.27,1
hibiscus,large,none,142.88,3
rose,medium,strong,55.82,3
rose,small,strong,47.14,3
rose,small,mild,82.76,1
rose,medium,strong,72.67,3
hibiscus,large,none,137.67,1
hibiscus,large,none,135.28,3
shoeblack plant,large,none,141.55,3
shoeblack plant,large,mild,55.86,2
shoeblack plant,medium,mild,106.02,3
hibiscus,large,none,167.44,3
hibiscus,large,none,142.36,1
hibiscus,large,none,118.5,2
rose,medium,strong,90.43,2
hibiscus,large,none,114.96,2
hibiscus,large,none,121.32,1
rose,medium,strong,92.39,1
shoeblack plant,large,none,72.6,3
shoeblack plant,medium,mild,58.45,3
rose,medium,strong,92.19,1
rose,small,strong,41.2,1
hibiscus,large,none,149.79,1
shoeblack plant,medium,none,127.27,1
rose,small,mild,48.21,2
shoeblack plant,medium,none,133.01,2
rose,medium,strong,55.26,3
shoeblack plant,medium,mild,120.38,1
rose,medium,strong,39.28,3
hibiscus,large,none,188.23,1
shoeblack plant,medium,mild,70.38,2
hibiscus,large,none,146.87,3
rose,medium,mild,41.83,1
rose,medium,mild,90.24,3
shoeblack plant,medium,mild,52.87,1
hibiscus,large,none,108.32,2
shoeblack plant,medium,none,85.83,2
shoeblack plant,large,none,62.39,2
hibiscus,large,none,104.29,2
rose,medium,mild,59.49,1
hibiscus,large,none,117.43,1
rose,small,mild,75.85,1
shoeblack plant,medium,mild,53.98,1
hibiscus,large,none,161.78,2
shoeblack plant,medium,mild,145.94,1
hibiscus,large,none,146.13,2
rose,medium,mild,33.91,2
rose,medium,mild,55.71,1
hibiscus,large,none,139.19,2
rose,medium,mild,42.67,1
hibiscus,large,none,192.13,3
hibiscus,large,none,135.76,3
rose,small,strong,77.81,3
rose,small,mild,81.04,2
hibiscus,large,none,134.01,2
rose,medium,mild,70.02,3
hibiscus,large,none,181.95,3
hibiscus,large,none,195.96,3
shoeblack plant,large,mild,116.61,2
shoeblack plant,medium,none,131.61,3
shoeblack plant,large,mild,70.78,2
rose,medium,strong,66.36,1
shoeblack plant,medium,mild,100.59,2
rose,medium,mild,48.34,1
hibiscus,large,none,107.34,1
rose,medium,strong,58.73,1
shoeblack plant,medium,none,75.86,2
hibiscus,large,none,136.6,3
hibiscus,large,none,199.64,1
shoeblack plant,medium,mild,119.44,1
rose,medium,mild,87.9,3
rose,small,strong,92.21,2
shoeblack plant,medium,mild,89.75,2
shoeblack plant,large,none,53.07,2
rose,medium,strong,53.07,1
rose,medium,strong,88.74,2
hibiscus,large,none,132.28,2
rose,small,strong,96.63,1
rose,medium,strong,76.39,1
rose,medium,strong,97,1
hibiscus,large,none,187.75,2
hibiscus,large,none,198.77,1
rose,small,mild,63.09,2
rose,small,mild,45.4,2
shoeblack plant,large,mild,133.8,1
rose,small,strong,72.13,2
shoeblack plant,large,none,93.63,1
hibiscus,large,none,160.26,3
hibiscus,large,none,145.13,1
rose,small,strong,97.44,2
shoeblack plant,large,mild,79.78,2
shoeblack plant,large,none,138.5,2
shoeblack plant,large,none,116.55,1
rose,medium,mild,34.51,2
shoeblack plant,medium,mild,82.52,3
rose,medium,strong,41.98,3
rose,small,mild,95.36,1
rose,small,mild,64.57,2
shoeblack plant,medium,mild,143.95,1
hibiscus,large,none,198.76,1
hibiscus,large,none,119.41,1
shoeblack plant,medium,mild,61.59,1
shoeblack plant,large,none,84.72,3
shoeblack plant,medium,mild,115.24,3
rose,small,mild,79.18,1
hibiscus,large,none,121.24,1
rose,medium,strong,58.87,1
rose,small,mild,50.73,1
rose,medium,strong,86.5,3
rose,small,mild,54.28,3
hibiscus,large,none,176.98,2
shoeblack plant,medium,mild,60.11,1
shoeblack plant,large,mild,108.84,2
hibiscus,large,none,190.54,2
shoeblack plant,large,none,65.93,2
shoeblack plant,large,none,132.51,3
hibiscus,large,none,131.28,1
shoeblack plant,large,none,146.88,2
rose,medium,mild,53.03,3
rose,small,mild,32.61,3
shoeblack plant,medium,none,63.48,1
rose,small,mild,63.78,3
rose,medium,strong,36.34,1
rose,medium,mild,65.31,2
rose,medium,strong,74.37,2
shoeblack plant,medium,none,94.61,3
shoeblack plant,large,none,77.91,3
rose,medium,mild,59.43,2
shoeblack plant,large,none,118.52,2
shoeblack plant,large,mild,69.97,3
rose,small,mild,74.48,1
rose,small,mild,47.13,3
hibiscus,large,none,191.22,2
rose,small,mild,80.49,3
rose,medium,strong,51.71,3
rose,small,mild,56.4,2
shoeblack plant,medium,mild,122.26,2
rose,medium,strong,85.46,2
rose,small,strong,84.05,2
shoeblack plant,large,none,51.89,3
hibiscus,large,none,153.12,1
shoeblack plant,medium,mild,110.12,1
hibiscus,large,none,196.89,1
rose,medium,mild,58.72,3
hibiscus,large,none,103.08,2
shoeblack plant,medium,mild,126.94,2
hibiscus,large,none,172.63,1
hibiscus,large,none,131.13,2
shoeblack plant,large,mild,142.17,1
rose,medium,mild,66.19,1
shoeblack plant,medium,none,66.92,2
shoeblack plant,large,mild,84.99,2
hibiscus,large,none,119.66,3
hibiscus,large,none,146.69,3
hibiscus,large,none,123.39,1
rose,medium,mild,36.6,2
shoeblack plant,large,mild,65.65,3
shoeblack plant,large,none,116.97,3
rose,medium,strong,56.21,3
rose,medium,strong,89.81,3
shoeblack plant,large,none,142.67,1
rose,small,strong,64.86,1
rose,small,mild,64.29,2
shoeblack plant,medium,mild,144.8,1
shoeblack plant,medium,mild,88.62,3
rose,small,strong,49.77,1
hibiscus,large,none,141.47,1
shoeblack plant,medium,none,81.49,2
shoeblack plant,medium,mild,87.12,2
hibiscus,large,none,120.12,1
shoeblack plant,medium,mild,141.31,3
shoeblack plant,medium,mild,109.3,1
hibiscus,large,none,117.62,1
shoeblack plant,large,none,91.17,3
hibiscus,large,none,118.21,2
rose,small,strong,50.88,3
rose,small,strong,39.25,1
hibiscus,large,none,180.88,2
rose,small,mild,87.78,1
hibiscus,large,none,101.12,1
hibiscus,large,none,125.22,3
rose,small,mild,96.06,2
hibiscus,large,none,198.82,2
rose,medium,strong,61.82,1
hibiscus,large,none,112.97,2
rose,small,strong,50.61,2
hibiscus,large,none,138.25,3
rose,small,strong,71.32,3
rose,small,strong,88.07,3
hibiscus,large,none,158.49,2
shoeblack plant,medium,mild,144.23,2
shoeblack plant,medium,none,132.28,2
hibiscus,large,none,108.56,2
hibiscus,large,none,163.59,1
rose,medium,strong,97.37,3
hibiscus,large,none,104.83,2
hibiscus,large,none,177.95,1
hibiscus,large,none,199.03,3
rose,medium,strong,66.15,3
hibiscus,large,none,184.93,3
rose,medium,mild,84.87,1
hibiscus,large,none,186.97,3
hibiscus,large,none,165.34,1
hibiscus,large,none,198.65,3
rose,medium,mild,53.73,2
hibiscus,large,none,101.31,1
hibiscus,large,none,158.44,1
rose,medium,mild,98.89,1
hibiscus,large,none,138.86,2
rose,medium,strong,46.34,1
rose,small,mild,50.08,2
shoeblack plant,medium,mild,68.27,2
rose,small,mild,48.17,3
rose,medium,strong,57.8,2
rose,medium,strong,60.27,2
shoeblack plant,medium,none,59.64,1
shoeblack plant,medium,none,146.94,2
shoeblack plant,medium,none,141.64,2
shoeblack plant,large,mild,64.53,1
shoeblack plant,medium,none,68.84,3
hibiscus,large,none,164.1,1
shoeblack plant,large,mild,104.02,2
shoeblack plant,medium,mild,124.58,2
rose,medium,strong,96.25,3
hibiscus,large,none,140.47,2
shoeblack plant,medium,none,63.2,2
hibiscus,large,none,165.27,3
rose,medium,mild,30.53,1
shoeblack plant,large,mild,102.95,2
rose,medium,mild,88.19,2
rose,medium,strong,36.27,1
shoeblack plant,medium,none,94.05,3
shoeblack plant,medium,none,51.35,1
shoeblack plant,large,none,57.63,2
hibiscus,large,none,119.93,1
rose,medium,mild,83.55,2
shoeblack plant,large,mild,105.39,2
rose,small,strong,73.29,1
hibiscus,large,none,134.65,1
rose,medium,strong,76.45,3
rose,small,strong,76.53,2
rose,medium,strong,92.75,1
hibiscus,large,none,182.6,1
hibiscus,large,none,168.61,2
hibiscus,large,none,176.92,3
rose,medium,strong,81.24,3
hibiscus,large,none,166.75,1
rose,medium,strong,56.33,2
rose,medium,mild,71.57,2
hibiscus,large,none,191.57,1
shoeblack plant,large,none,144.57,2
rose,medium,strong,54.08,2
shoeblack plant,large,none,79.12,2
shoeblack plant,medium,none,85.33,1
hibiscus,large,none,104.17,2
hibiscus,large,none,197.98,2
rose,small,strong,83.53,3
rose,medium,mild,51.04,2
rose,medium,strong,51.35,3
shoeblack plant,medium,none,140.64,3
rose,small,strong,69.68,1
hibiscus,large,none,112.82,1
hibiscus,large,none,140.3,1
shoeblack plant,large,none,82.41,3
hibiscus,large,none,107.86,1
shoeblack plant,medium,none,98.82,1
rose,small,strong,90.93,2
hibiscus,large,none,138.62,2
rose,medium,strong,85.5,1
hibiscus,large,none,112.83,3
shoeblack plant,medium,none,136.25,1
hibiscus,large,none,150.42,1
rose,medium,strong,60.49,3
shoeblack plant,large,none,129.47,1
hibiscus,large,none,197.92,3
rose,medium,mild,38.86,1
shoeblack plant,large,mild,113.52,1
shoeblack plant,medium,mild,102.91,1
rose,medium,strong,81.52,3
rose,small,strong,88.26,3
hibiscus,large,none,142.91,2
hibiscus,large,none,125.47,1
hibiscus,large,none,197.54,3
shoeblack plant,medium,none,101.25,2
hibiscus,large,none,118.07,1
shoeblack plant,medium,none,123.6,2
shoeblack plant,large,none,82.74,3
rose,medium,mild,50.43,3
hibiscus,large,none,190.73,3
hibiscus,large,none,169.18,3
hibiscus,large,none,163.07,1
shoeblack plant,large,none,97.87,1
hibiscus,large,none,107.37,3
hibiscus,large,none,126.91,1
shoeblack plant,large,none,121.12,2
shoeblack plant,medium,none,88.98,3
hibiscus,large,none,171.21,3
rose,small,strong,85.98,2
rose,medium,strong,34.03,1
rose,medium,mild,93.16,3
rose,medium,mild,68.84,3
shoeblack plant,medium,mild,90.18,2
rose,medium,mild,42.32,3
shoeblack plant,medium,mild,81.15,3
hibiscus,large,none,193.89,2
shoeblack plant,large,none,98.82,3
shoeblack plant,large,none,120.88,3
hibiscus,large,none,109.2,2
shoeblack plant,large,mild,105.45,2
shoeblack plant,medium,none,113.52,3
hibiscus,large,none,107.8,1
rose,medium,strong,36.93,3
shoeblack plant,medium,none,145.98,2
hibiscus,large,none,152.98,1
rose,small,strong,77.94,3
shoeblack plant,large,mild,126.34,1
rose,medium,strong,43.52,1
shoeblack plant,medium,none,94.43,2
rose,medium,mild,36.55,3
hibiscus,large,none,134.37,2
rose,medium,mild,52.58,1
rose,medium,strong,68.78,1
hibiscus,large,none,185.23,2
rose,medium,mild,70.01,1
hibiscus,large,none,112.4,1
shoeblack plant,medium,mild,68.33,2
shoeblack plant,large,none,76.74,1
rose,medium,strong,38.74,2
hibiscus,large,none,112.18,2
rose,medium,mild,92.33,1
rose,small,mild,69.55,2
rose,small,strong,83.2,2
rose,small,strong,93.09,1
rose,medium,strong,43.57,3
shoeblack plant,large,mild,69.86,1
hibiscus,large,none,121.4,3
shoeblack plant,large,mild,108.15,3
shoeblack plant,large,mild,78.91,3
hibiscus,large,none,138.23,1
rose,small,strong,80.11,2
hibiscus,large,none,148.17,3
shoeblack plant,medium,mild,57.95,1
rose,small,mild,73.62,2
hibiscus,large,none,197.84,2
rose,small,mild,86.87,3
rose,medium,mild,72.56,1
rose,small,mild,63.82,3
hibiscus,large,none,125.2,2
shoeblack plant,large,mild,144.49,3
hibiscus,large,none,105.06,1
hibiscus,large,none,196.14,3
shoeblack plant,large,none,71.4,3
rose,medium,strong,88.92,1
hibiscus,large,none,149.84,1
hibiscus,large,none,171.67,3
shoeblack plant,large,mild,105.21,3
rose,small,strong,88.18,3
rose,medium,strong,97.3,3
rose,small,mild,34.98,2
shoeblack plant,medium,none,83.59,2
hibiscus,large,none,195.27,1
hibiscus,large,none,148.02,3
shoeblack plant,medium,mild,115.78,1
hibiscus,large,none,195.73,1
shoeblack plant,medium,mild,81.15,2
rose,small,mild,95.91,3
hibiscus,large,none,107.28,1
rose,medium,strong,82.58,1
shoeblack plant,medium,none,92.69,3
hibiscus,large,none,146.97,3
rose,medium,mild,78.38,3
hibiscus,large,none,194.93,1
shoeblack plant,large,none,107.6,3
rose,medium,mild,86.88,1
rose,small,strong,88.83,1
hibiscus,large,none,107.34,2
hibiscus,large,none,184.04,2
rose,small,mild,69.63,3
shoeblack plant,medium,none,121.14,3
hibiscus,large,none,147.82,2
hibiscus,large,none,122.41,2
shoeblack plant,large,mild,88.15,3
rose,medium,strong,80.98,2
rose,small,strong,30.61,2
rose,small,mild,37.81,2
hibiscus,large,none,193.93,3
hibiscus,large,none,165.52,1
hibiscus,large,none,104.82,1
shoeblack plant,medium,none,85.56,3
hibiscus,large,none,132.2,1
shoeblack plant,medium,none,113.38,3
rose,medium,mild,95.3,2
hibiscus,large,none,174.79,2
rose,medium,strong,93.47,1
shoeblack plant,large,mild,124.47,2
rose,small,mild,54.66,2
hibiscus,large,none,178.87,3
rose,medium,strong,86.44,3
shoeblack plant,medium,mild,90.43,1
rose,small,mild,64.47,1
shoeblack plant,medium,none,136.22,1
hibiscus,large,none,159.27,2
shoeblack plant,medium,none,131.72,1
hibiscus,large,none,153.25,1
rose,small,mild,64.05,1
shoeblack plant,large,none,106.71,3
rose,medium,strong,39.5,1
rose,small,mild,47.67,1
shoeblack plant,medium,none,112.19,3
hibiscus,large,none,125.31,3
rose,medium,mild,62.74,2
rose,medium,strong,51.87,1
hibiscus,large,none,109.78,2
shoeblack plant,medium,none,106.79,1
shoeblack plant,large,mild,105.27,3
hibiscus,large,none,162.56,1
rose,small,mild,76.64,1
rose,medium,mild,39.38,2
hibiscus,large,none,138.78,1
hibiscus,large,none,159.37,1
shoeblack plant,medium,mild,147.28,1
rose,medium,mild,58.02,3
shoeblack plant,medium,mild,56.75,1
rose,small,strong,94.63,1
shoeblack plant,large,mild,56.68,3
shoeblack plant,medium,none,109.83,3
shoeblack plant,large,none,86.46,1
shoeblack plant,large,none,104.26,3
hibiscus,large,none,194.79,3
rose,medium,mild,84.31,2
rose,small,mild,30.25,3
hibiscus,large,none,184.64,3
shoeblack plant,medium,none,81.09,3
rose,medium,mild,92.58,3
hibiscus,large,none,117.33,2
shoeblack plant,medium,mild,146.97,2
hibiscus,large,none,154.09,1
rose,medium,mild,66.81,3
hibiscus,large,none,132.28,1
shoeblack plant,medium,none,135.34,2
hibiscus,large,none,154.78,1
hibiscus,large,none,149.44,2
rose,medium,mild,79.62,3
hibiscus,large,none,180.58,1
rose,small,strong,36.77,1
hibiscus,large,none,151.4,1
hibiscus,large,none,188.01,3
rose,medium,mild,75.73,2
rose,medium,mild,67.17,1
hibiscus,large,none,155.08,2
shoeblack plant,medium,mild,144.07,1
shoeblack plant,large,none,90.55,1
rose,medium,strong,36.1,3
hibiscus,large,none,111.2,1
rose,small,mild,50.1,2
shoeblack plant,medium,mild,107.89,1
hibiscus,large,none,142.36,2
shoeblack plant,large,none,142.65,3
shoeblack plant,medium,none,88.56,1
rose,medium,strong,64.84,3
shoeblack plant,large,mild,112.79,1
rose,medium,strong,50.25,1
hibiscus,large,none,113.2,3
shoeblack plant,medium,none,105.24,2
hibiscus,large,none,126.86,3
hibiscus,large,none,148.07,2
hibiscus,large,none,137.25,1
hibiscus,large,none,177.51,2
rose,small,mild,43.45,1
hibiscus,large,none,149.57,2
rose,medium,mild,53.18,1
shoeblack plant,medium,none,70.21,3
hibiscus,large,none,120.51,3
hibiscus,large,none,191.85,1
hibiscus,large,none,184.34,2
rose,medium,mild,42.84,3
shoeblack plant,medium,none,127.43,1
rose,small,mild,69.33,3
rose,small,strong,82.33,2
shoeblack plant,large,none,98.95,3
shoeblack plant,medium,none,115.65,1
rose,small,mild,42.78,2
shoeblack plant,medium,none,144.18,3
hibiscus,large,none,180.23,3
shoeblack plant,large,mild,110.15,2
hibiscus,large,none,160.16,1
rose,medium,mild,93.78,2
rose,small,mild,51.65,3
hibiscus,large,none,192.23,2
rose,medium,mild,92.75,3
shoeblack plant,large,mild,85.17,2
rose,small,strong,84.75,3
rose,medium,strong,48.31,2
shoeblack plant,medium,mild,53.96,2
hibiscus,large,none,135.5,3
rose,small,strong,86.99,2
shoeblack plant,medium,none,121.07,1
hibiscus,large,none,128.64,2
hibiscus,large,none,103.04,1
hibiscus,large,none,119.83,1
shoeblack plant,large,none,129.69,1
hibiscus,large,none,188.5,2
hibiscus,large,none,141.49,2
rose,small,strong,89.47,2
hibiscus,large,none,199.65,1
shoeblack plant,large,mild,95.78,1
shoeblack plant,medium,mild,142.61,3
rose,small,strong,30.09,3
hibiscus,large,none,165.76,1
hibiscus,large,none,110.23,2
shoeblack plant,medium,mild,144.21,1
shoeblack plant,large,none,146.11,2
hibiscus,large,none,114.83,2
shoeblack plant,large,none,112.46,3
rose,medium,mild,41.3,3
shoeblack plant,large,none,56.4,1
shoeblack plant,large,none,67.27,2
shoeblack plant,medium,mild,128.88,3
shoeblack plant,medium,none,103.46,3
shoeblack plant,large,none,63.53,3
hibiscus,large,none,195.71,3
rose,medium,strong,55.39,1
rose,small,strong,94.61,1
shoeblack plant,medium,none,128.11,1
rose,small,mild,48.08,3
shoeblack plant,medium,none,56.49,1
hibiscus,large,none,108.59,1
hibiscus,large,none,157.33,3
rose,small,mild,38.62,2
shoeblack plant,medium,none,101.13,1
rose,small,mild,89.97,3
hibiscus,large,none,188.21,1
shoeblack plant,medium,mild,141.44,1
hibiscus,large,none,113.39,3
rose,medium,strong,38.88,1
shoeblack plant,medium,none,110.5,2
rose,small,mild,46.79,3
hibiscus,large,none,106.93,2
rose,small,mild,31.97,3
rose,small,strong,90.9,2
hibiscus,large,none,172.71,3
hibiscus,large,none,122.28,3
hibiscus,large,none,150.68,2
hibiscus,large,none,161.67,3
shoeblack plant,large,none,109.31,2
shoeblack plant,medium,none,58.52,1
rose,medium,mild,58.78,1
shoeblack plant,large,mild,87.96,2
shoeblack plant,large,none,122.73,1
hibiscus,large,none,192.57,3
shoeblack plant,large,mild,57.87,3
hibiscus,large,none,125.64,3
rose,medium,mild,75.52,1
shoeblack plant,medium,mild,108.91,1
shoeblack plant,large,none,128.44,2
rose,small,strong,78.15,3
shoeblack plant,medium,none,109.35,2
shoeblack plant,medium,mild,58.75,1
rose,small,mild,74.65,2
hibiscus,large,none,129.59,1
rose,medium,strong,99.93,1
hibiscus,large,none,109.96,1
hibiscus,large,none,183.12,1
shoeblack plant,large,none,50.68,2
shoeblack plant,large,none,129.48,3
rose,small,strong,45.95,3
hibiscus,large,none,187.61,2
hibiscus,large,none,100.65,2
hibiscus,large,none,133.52,3
shoeblack plant,medium,none,67.68,2
rose,medium,strong,94.27,2
hibiscus,large,none,174.82,2
hibiscus,large,none,138.96,2
hibiscus,large,none,136,1
shoeblack plant,medium,mild,141.96,1
rose,small,mild,58.3,3
rose,medium,mild,85.81,2
rose,small,mild,54.56,3
hibiscus,large,none,120.62,1
hibiscus,large,none,130.84,2
hibiscus,large,none,123.23,3
rose,small,strong,33.04,3
rose,small,mild,62.54,1
hibiscus,large,none,186.86,3
rose,medium,strong,41.84,2
shoeblack plant,medium,none,90.32,3
rose,small,strong,57.04,1
rose,medium,mild,90.51,1
hibiscus,large,none,147.8,1
shoeblack plant,medium,mild,146.53,3
shoeblack plant,medium,none,99.21,3
shoeblack plant,large,none,70.37,3
rose,medium,mild,97.93,3
shoeblack plant,medium,mild,86.94,2
rose,small,strong,92.06,1
shoeblack plant,large,mild,136.88,3
shoeblack plant,medium,mild,86.01,1
rose,small,strong,90.75,2
hibiscus,large,none,177.46,2
shoeblack plant,large,none,106.52,3
shoeblack plant,medium,none,97.86,2
shoeblack plant,medium,mild,94.36,2
shoeblack plant,large,none,59,2
hibiscus,large,none,112.75,2
rose,medium,mild,90.48,3
rose,medium,strong,85,1
rose,small,strong,30.56,1
rose,small,strong,72.12,3
rose,small,mild,88.27,2
shoeblack plant,large,none,85.23,2
rose,small,mild,69.58,3
hibiscus,large,none,163.38,3
shoeblack plant,medium,none,95.31,3
rose,medium,mild,66.16,1
rose,small,mild,45.37,3
rose,small,strong,45.54,1
rose,small,mild,36.88,2
rose,small,mild,87.02,1
shoeblack plant,large,none,74.62,2
shoeblack plant,medium,none,113.32,1
hibiscus,large,none,131.69,2
shoeblack plant,medium,none,53.14,3
shoeblack plant,medium,none,54.22,1
hibiscus,large,none,152.75,2
rose,small,strong,57.5,2
rose,small,strong,43.48,1
rose,medium,mild,75.52,2
rose,medium,strong,40.06,1
rose,medium,strong,58.44,2
shoeblack plant,large,mild,74.95,1
hibiscus,large,none,170.69,1
shoeblack plant,medium,none,136.63,1
hibiscus,large,none,121.77,3
rose,small,strong,62.97,2
rose,medium,mild,31.23,1
rose,medium,strong,44.22,1
rose,small,mild,65.73,2
shoeblack plant,medium,none,121.53,2
rose,medium,mild,76.28,3
rose,medium,mild,33.93,3
shoeblack plant,large,mild,133.63,1
hibiscus,large,none,101.32,1
rose,medium,strong,35.56,3
hibiscus,large,none,190.52,1
shoeblack plant,medium,none,106.78,3
shoeblack plant,large,none,64.54,2
rose,medium,mild,45.58,3
shoeblack plant,large,mild,110,3
shoeblack plant,large,none,131.92,1
shoeblack plant,medium,none,85.55,1
rose,small,strong,50.08,1
shoeblack plant,large,mild,124.83,3
rose,small,strong,31.4,3
rose,medium,strong,96.05,1
shoeblack plant,medium,none,128.17,2
hibiscus,large,none,133.12,3
shoeblack plant,large,none,91.74,1
hibiscus,large,none,175.15,2
hibiscus,large,none,129.24,2
shoeblack plant,medium,mild,115.07,3
rose,small,mild,97.46,3
shoeblack plant,large,mild,133.9,2
shoeblack plant,large,none,78.07,2
hibiscus,large,none,139.65,2
shoeblack plant,medium,none,71.84,1
shoeblack plant,large,none,70.41,3
rose,medium,strong,40.53,2
rose,small,strong,66.3,3
shoeblack plant,medium,none,89.25,2
shoeblack plant,medium,none,125.52,2
shoeblack plant,medium,mild,124.35,1
rose,small,strong,88.81,2
shoeblack plant,large,none,99.14,2
rose,medium,mild,53.12,1
hibiscus,large,none,168.13,1
shoeblack plant,large,mild,110.94,2
shoeblack plant,large,mild,63.62,2
rose,medium,strong,40.45,2
rose,small,mild,92.21,3
hibiscus,large,none,157.82,2
hibiscus,large,none,170.16,1
shoeblack plant,medium,none,110.46,1
rose,medium,mild,96.37,2
rose,medium,strong,31.97,3
rose,medium,strong,35.27,1
shoeblack plant,medium,mild,133.47,3
hibiscus,large,none,106.57,1
shoeblack plant,medium,mild,100.59,3
shoeblack plant,medium,mild,120.04,1
rose,medium,mild,60.02,1
hibiscus,large,none,158.95,1
hibiscus,large,none,197.32,1
hibiscus,large,none,136.39,1
shoeblack plant,medium,none,83.84,2
shoeblack plant,medium,none,77.82,3
hibiscus,large,none,107.18,3
rose,small,strong,84.11,2
shoeblack plant,medium,none,120.88,1
hibiscus,large,none,180.79,2
hibiscus,large,none,163.82,3
shoeblack plant,large,none,53.86,3
rose,medium,strong,90.89,3
hibiscus,large,none,150.69,1
rose,medium,mild,97.76,1
shoeblack plant,large,mild,125.6,1
hibiscus,large,none,138.52,3
shoeblack plant,large,none,69.34,3
rose,medium,strong,51.07,2
shoeblack plant,large,none,90.19,3
shoeblack plant,large,none,142.58,2
hibiscus,large,none,174.47,1
shoeblack plant,large,mild,104.55,1
rose,medium,strong,85.18,1
rose,medium,strong,42.49,2
rose,medium,strong,71.63,2
rose,medium,strong,57.2,1
shoeblack plant,medium,none,66.2,2
hibiscus,large,none,151.94,1
shoeblack plant,medium,mild,92.35,2
shoeblack plant,large,mild,138.76,2
shoeblack plant,large,mild,99.72,2
shoeblack plant,large,mild,50.96,2
rose,small,mild,68.22,2
rose,small,strong,44.67,2
hibiscus,large,none,104.29,2
shoeblack plant,large,none,100.57,2
hibiscus,large,none,166.36,2
rose,medium,mild,63.16,2
hibiscus,large,none,160.04,1
shoeblack plant,large,none,120.04,3
hibiscus,large,none,128.39,2
hibiscus,large,none,168.4,3
rose,medium,strong,66.22,3
hibiscus,large,none,111.33,3
hibiscus,large,none,101.56,2
hibiscus,large,none,191.39,1
shoeblack plant,medium,mild,92.42,1
hibiscus,large,none,165.69,2
rose,medium,strong,44.46,1
rose,small,strong,53.87,1
shoeblack plant,medium,mild,95.09,2
hibiscus,large,none,106.11,2
shoeblack plant,medium,mild,71.54,3
rose,medium,mild,89.38,3
hibiscus,large,none,125.35,1
hibiscus,large,none,131.13,3
